year,week,date,team,rank
2022,2022-W36,2022-09-11,Ohio,66
2022,2022-W36,2022-09-11,Georgia Southern,67
2022,2022-W36,2022-09-11,Arizona St,68
2022,2022-W36,2022-09-11,Fresno St,70
2022,2022-W36,2022-09-11,Northwestern,71
2022,2022-W36,2022-09-11,Washington,72
2022,2022-W36,2022-09-11,WKU,73
2022,2022-W36,2022-09-11,UAB,74
2022,2022-W36,2022-09-11,Notre Dame,76
2022,2022-W36,2022-09-11,Utah,76
2022,2022-W36,2022-09-11,USF,77
2022,2022-W36,2022-09-11,LSU,81
2022,2022-W36,2022-09-11,Toledo,81
2022,2022-W36,2022-09-11,Western Michigan,81
2022,2022-W36,2022-09-11,Wyoming,81
2022,2022-W36,2022-09-11,Miami (OH),82
2022,2022-W36,2022-09-11,Old Dominion,83
2022,2022-W36,2022-09-11,Middle Tenn,84
2022,2022-W36,2022-09-11,Texas A&M,86
2022,2022-W36,2022-09-11,Missouri,86
2022,2022-W36,2022-09-11,Troy,87
2022,2022-W36,2022-09-11,Memphis,89
2022,2022-W36,2022-09-11,Arkansas St,90
2022,2022-W36,2022-09-11,Georgia St,91
2022,2022-W36,2022-09-11,North Texas,92
2022,2022-W36,2022-09-11,Georgia Tech,93
2022,2022-W36,2022-09-11,UCF,94
2022,2022-W36,2022-09-11,Vanderbilt,95
2022,2022-W36,2022-09-11,Virginia Tech,98
2022,2022-W36,2022-09-11,Tulsa,99
2022,2022-W36,2022-09-11,Stanford,103
2022,2022-W36,2022-09-11,West Virginia,106
2022,2022-W36,2022-09-11,Akron,106
2022,2022-W36,2022-09-11,UTSA,107
2022,2022-W36,2022-09-11,Central Michigan,116
2022,2022-W36,2022-09-11,San Jose St,118
2022,2022-W36,2022-09-11,Eastern Michigan,125
2022,2022-W36,2022-09-11,Texas St,126
2022,2022-W36,2022-09-11,Virginia,129
2022,2022-W36,2022-09-11,UNLV,132
2022,2022-W36,2022-09-11,San Diego St,134
2022,2022-W36,2022-09-11,ULM,136
2022,2022-W36,2022-09-11,Utah St,141
2022,2022-W36,2022-09-11,Nebraska,143
2022,2022-W36,2022-09-11,New Mexico,143
2022,2022-W36,2022-09-11,Nevada,144
2022,2022-W36,2022-09-11,Colorado,148
2022,2022-W36,2022-09-11,Rice,148
2022,2022-W36,2022-09-11,Connecticut,148
2022,2022-W36,2022-09-11,FAU,150
2022,2022-W36,2022-09-11,Louisiana Tech,155
2022,2022-W36,2022-09-11,Southern Miss,161
2022,2022-W36,2022-09-11,Kent St,166
2022,2022-W36,2022-09-11,Ball St,166
2022,2022-W36,2022-09-11,Northern Illinois,169
2022,2022-W36,2022-09-11,Colorado St,171
2022,2022-W36,2022-09-11,Temple,175
2022,2022-W36,2022-09-11,UTEP,179
2022,2022-W36,2022-09-11,Boston College,182
2022,2022-W36,2022-09-11,UMass,184
2022,2022-W36,2022-09-11,FIU,185
2022,2022-W36,2022-09-11,Buffalo,187
2022,2022-W36,2022-09-11,Navy,189
2022,2022-W36,2022-09-11,Army,192
2022,2022-W36,2022-09-11,Bowling Green,193
2022,2022-W36,2022-09-11,Hawaii,194
2022,2022-W36,2022-09-11,Charlotte,198
2022,2022-W36,2022-09-11,New Mexico St,199
2022,2022-W37,2022-09-18,Penn St,1
2022,2022-W37,2022-09-18,Arkansas,2
2022,2022-W37,2022-09-18,Ohio St,3
2022,2022-W37,2022-09-18,Georgia,4
2022,2022-W37,2022-09-18,Alabama,5
2022,2022-W37,2022-09-18,NC State,6
